--- REPORTE GENERAL DE VENTAS ----
Total de registros: 150
MONTO TOTAL VENDIDO:
S/. 3770676.10
---------------------------------------
VENDEDOR CON MAYOR RECAUDACIÓN:
ID Vendedor: 4
Total vendido: S/. 648799.80
---------------------------------------
PRODUCTO MÁS VENDIDO:
ID Producto: 20
Total unidades: 1346
---------------------------------------
VENTAS SOSPECHOSAS (cantidad>100):
ID Venta: 3 | ID Vendedor: 1 | ID Producto: 7 | Cantidad: 111
ID Venta: 98 | ID Vendedor: 3 | ID Producto: 18 | Cantidad: 196
ID Venta: 102 | ID Vendedor: 9 | ID Producto: 19 | Cantidad: 109
ID Venta: 103 | ID Vendedor: 6 | ID Producto: 18 | Cantidad: 143
ID Venta: 104 | ID Vendedor: 5 | ID Producto: 8 | Cantidad: 176
ID Venta: 105 | ID Vendedor: 9 | ID Producto: 19 | Cantidad: 197
ID Venta: 106 | ID Vendedor: 7 | ID Producto: 4 | Cantidad: 157
ID Venta: 107 | ID Vendedor: 4 | ID Producto: 20 | Cantidad: 198
ID Venta: 110 | ID Vendedor: 1 | ID Producto: 16 | Cantidad: 192
ID Venta: 113 | ID Vendedor: 7 | ID Producto: 20 | Cantidad: 196
ID Venta: 114 | ID Vendedor: 4 | ID Producto: 13 | Cantidad: 150
ID Venta: 115 | ID Vendedor: 2 | ID Producto: 19 | Cantidad: 158
ID Venta: 116 | ID Vendedor: 8 | ID Producto: 20 | Cantidad: 184
ID Venta: 119 | ID Vendedor: 5 | ID Producto: 11 | Cantidad: 177
ID Venta: 122 | ID Vendedor: 2 | ID Producto: 10 | Cantidad: 131
ID Venta: 123 | ID Vendedor: 8 | ID Producto: 8 | Cantidad: 142
ID Venta: 125 | ID Vendedor: 6 | ID Producto: 11 | Cantidad: 121
ID Venta: 126 | ID Vendedor: 10 | ID Producto: 9 | Cantidad: 179
ID Venta: 127 | ID Vendedor: 10 | ID Producto: 16 | Cantidad: 188
ID Venta: 128 | ID Vendedor: 5 | ID Producto: 20 | Cantidad: 124
ID Venta: 132 | ID Vendedor: 4 | ID Producto: 18 | Cantidad: 108
ID Venta: 135 | ID Vendedor: 7 | ID Producto: 15 | Cantidad: 159
ID Venta: 137 | ID Vendedor: 7 | ID Producto: 7 | Cantidad: 127
ID Venta: 141 | ID Vendedor: 1 | ID Producto: 18 | Cantidad: 150
ID Venta: 142 | ID Vendedor: 8 | ID Producto: 17 | Cantidad: 172
ID Venta: 146 | ID Vendedor: 8 | ID Producto: 2 | Cantidad: 167
ID Venta: 148 | ID Vendedor: 4 | ID Producto: 4 | Cantidad: 199
ID Venta: 150 | ID Vendedor: 9 | ID Producto: 11 | Cantidad: 106
